TDEP,Cons,CAL,GR,LLD,LLS,RHOB,NPHI,PEF,DT,PHIF  (%),PHIf
2795,1,1.98,88.5604,1783.8717,108.8831,2.669,0.033,3.061,52.4133,0.0093,0.0001
2795.125,1,1.957,82.0147,1883.8097,100.2348,2.62,0.035,2.871,52.7283,0.0281,0.0003
2795.25,1,1.9415,81.3277,1880.6017,94.631,2.61,0.04,2.8465,52.9733,0.0379,0.0004
2795.375,1,1.926,79.315,1877.3937,89.0325,2.6,0.045,2.822,53.2184,0.0494,0.0005
2795.5,1,1.887,83.328,2043.1836,91.8762,2.63,0.05,2.718,53.875,0.0362,0.0004
2795.625,1,1.88,84.5467,1978.6167,84.3767,2.611,0.052,2.827,53.5329,0.0501,0.0005
2795.75,1,1.915,83.8744,1618.5458,82.2591,2.601,0.06,2.823,53.7374,0.0677,0.0007
2795.875,1,1.911,80.9487,1544.6932,79.6964,2.606,0.08,2.686,54.8919,0.0939,0.0009
2796,1,1.9145,80.3514,1584.6117,76.7446,2.605,0.084,2.7275,54.3871,0.1018,0.001
2796.125,1,1.918,81.179,1624.5299,73.7918,2.604,0.088,2.769,53.8822,0.1101,0.0011
2796.25,1,1.938,83.433,1551.3068,75.0638,2.604,0.087,2.767,54.1693,0.1082,0.0011
2796.375,1,1.973,85.8244,1465.8877,75.3536,2.592,0.071,2.928,52.0811,0.0925,0.0009
2796.5,1,2.011,88.5254,1329.6302,74.8598,2.54,0.075,2.799,51.7831,0.1609,0.0016
2796.625,1,2.019,88.7705,1188.4854,73.1569,2.551,0.0695,2.8515,51.8556,0.1347,0.0013
2796.75,1,2.027,86.6486,1047.3401,71.453,2.562,0.064,2.904,51.928,0.1111,0.0011
2796.875,1,2.019,83.7499,1029.8199,70.8342,2.553,0.076,2.985,52.292,0.146,0.0015
2797,1,2.077,87.3117,1121.1912,72.9292,2.561,0.069,3.004,52.5661,0.1218,0.0012
2797.125,1,2.081,92.6224,1458.3053,84.4078,2.528,0.051,2.864,52.5676,0.1244,0.0012
2797.25,1,2.135,94.3661,1071.3464,85.14,2.542,0.073,2.943,53.1376,0.1537,0.0015
2797.375,1,2.135,91.778,1100.0082,85.4791,2.5815,0.076,2.9515,53.1446,0.1122,0.0011
2797.5,1,2.135,89.57,1128.6699,85.8183,2.621,0.079,2.96,53.1516,0.0783,0.0008
2797.625,1,2.073,93.4394,1040.3541,94.3737,2.643,0.065,2.835,53.1884,0.0437,0.0004
